friend,member
498363768,145343712
224357275,703519
495569594,703519
284680510,82582120
284680510,472326159
59597328,241748116
207461542,496897093
292343627,424290240
330002300,311604819
495431525,311604819
207264141,367439829
485451585,467159064
147792573,300867588
319828549,378742277
103420753,355486389
501940178,506436130
505560550,506436130
318196123,368699427
414893431,478504341
473802018,478504341
148997623,358353557
7692407,52172418
495138291,489427543
84364686,68623205
210357915,68623205
377081918,341208137
140354608,219504142
450905725,488661259
34305988,490041820
277219696,490041820
432907472,490041820
432909835,490041820
450502082,490041820
455757425,490041820
456406266,490041820
456726018,490041820
456727179,490041820
458015527,490041820
464111969,490041820
464112456,490041820
464113404,490041820
467264832,490041820
490041399,490041820
169205208,502064995
34305988,490041399
277219696,490041399
432907472,490041399
432909835,490041399
450327919,490041399
450502082,490041399
455757425,490041399
456406266,490041399
456726018,490041399
456727179,490041399
458015527,490041399
464111969,490041399
464112456,490041399
464113404,490041399
467264832,490041399
490041820,490041399
222877253,472396796
153160377,479248097
270447881,479248097
420441269,184561269
398808696,327502662
277111670,462294073
541580,1852726
601282,1852726
722767,1852726
838886,1852726
1812410,1852726
3404347,1852726
3613565,1852726
4028020,1852726
4766201,1852726
5008973,1852726
6203583,1852726
6342364,1852726
7737381,1852726
8122809,1852726
333130147,1852726
722767,1812410
838886,1812410
1852726,1812410
3613565,1812410
4028020,1812410
5008973,1812410
6203583,1812410
6656036,1812410
7737381,1812410
333130147,1812410
236028072,381578950
306535661,405742590
328768210,350823608
101320322,384123498
122037238,205249921
418036056,205249921
93934417,183487899
91159543,414704824
225243782,286116229
307014491,360798884
541580,3613565
722767,3613565
838886,3613565
1812410,3613565
1852726,3613565
4028020,3613565
4766201,3613565
6203583,3613565
6342364,3613565
7737381,3613565
8122809,3613565
233082490,505804525
237797191,505804525
351142262,153100314
282927591,505435560
484335203,505435560
340825413,310044317
445623594,505255570
483764099,505255570
428835582,238191744
505141588,505735806
414704824,91159543
146812419,74009095
455927148,384080025
179202978,505815997
191110289,505815997
175973059,168471952
35985988,465433038
330845729,136232931
36518765,505717411
135726890,469802541
4503861,24578531
168052034,107087237
309421346,107087237
52038324,456550409
204073669,430107977
358063606,430107977
162204084,478075790
488012903,478075790
125830578,253513721
170722976,253513721
236299822,253513721
255960935,253513721
316988496,253513721
377081918,253513721
466942545,253513721
316988496,187333850
418819884,187333850
466942545,187333850
487307042,187333850
75509799,505578973
365242340,100126075
439105570,100126075
59694537,162659901
119579121,446183905
158032201,446183905
255743641,446183905
294084542,446183905
415429681,446183905
436898136,446183905
42476789,417754025
198851701,304450824
457137136,169440049
162202527,505560550
415727184,505560550
506436130,505560550
452442733,6453801
68033129,144622899
493840536,81898475
496068747,81898475
16621104,445623594
90407484,445623594
146832747,445623594
282322680,445623594
291514029,445623594
301870802,445623594
354102047,445623594
482388364,445623594
505255570,445623594
343852961,263734921
66264864,296844218
382797237,296844218
336672550,481887609
439334521,181553770
672026,13108564
141618692,477934032
154584087,141618692
477934032,141618692
457927625,347778046
474892103,204286706
175913620,216822588
431908092,426765766
484335203,405176479
439105570,97143647
13626942,260340
1858826,356047487
193722510,356047487
422807299,356047487
303133142,502971304
158640574,505156820
270545059,206758465
309137499,206758465
206758465,309137499
270545059,309137499
97090713,87437275
460393273,505131217
107087237,309421346
838886,160156529
7016975,160156529
59085498,160156529
154338924,160156529
253912990,160156529
285878779,160156529
436421685,160156529
423681948,367251037
342760452,384513104
497126662,487041281
62710883,255831504
128499231,255831504
145343712,255831504
290690581,255831504
301324806,255831504
393691029,461822131
212414900,254941493
220191430,254941493
803064,424605968
224144526,424605968
332573646,424605968
473689223,424605968
484335203,282927591
499445780,282927591
505435560,282927591
379663132,228747721
258266943,311334872
541580,722767
601282,722767
838886,722767
1812410,722767
1852726,722767
3404347,722767
3613565,722767
4028020,722767
4766201,722767
5008973,722767
6203583,722767
6342364,722767
6656036,722767
7737381,722767
8122809,722767
498363768,455095297
82431641,458898425
473802018,420482913
193109584,162623197
305451964,156002800
441958707,156002800
1765196,1858826
51722183,1858826
188346323,1858826
208657419,1858826
221506877,1858826
222877253,1858826
263592656,1858826
306611429,1858826
356047487,1858826
372298365,1858826
483590870,1858826
484995407,1858826
226916589,357148938
140354608,483672724
294760503,484768664
188798843,355361094
273396718,355361094
418558026,355361094
324365088,218393995
105192975,148921492
291138816,148921492
265196489,425589521
161788957,391116721
236515202,391116721
278717784,391116721
177367250,276047745
416490031,504221269
504181768,504221269
187994790,453550524
331852650,453550524
400916516,453550524
409594619,453550524
475508377,453550524
156113701,25740860
64076591,157382419
101538890,157382419
265113051,157382419
145219354,227622955
12148421,451293628
159913882,451293628
260683756,451293628
294084542,451293628
391610346,451293628
453416170,451293628
317935126,248152658
359127827,248152658
370616133,248152658
83253087,150262189
103628100,150262189
290452195,150262189
300608061,150262189
416999691,150262189
424879806,150262189
476149065,150262189
497576310,382598085
263023354,309817657
475508377,309817657
490497444,504107774
42447996,241803251
305322802,241803251
423412343,487043616
492852570,487043616
311347198,232714040
436607097,502450163
504221269,504181768
150262189,83253087
435727808,83253087
319320019,324609765
84316472,43448158
221668174,43448158
142600323,220327017
470570508,220327017
474018265,220327017
306905399,503444014
303375732,367275443
392962318,367275443
505036446,367275443
332573646,385792952
358294272,385792952
31228501,173947629
462811526,490675132
496068747,490675132
191560553,191342815
172152532,291514029
445623594,291514029
148901276,169205208
502064995,169205208
368093463,415727872
446864942,415727872
451368130,415727872
501074888,415727872
508069182,415727872
260310206,450341409
467515581,450341409
456982119,476606558
131828954,427258450
62803198,121986717
184561269,420441269
454765059,420441269
465096603,420441269
132292682,301953627
258594743,410848551
282107288,456144369
368093463,279625458
451368130,279625458
30124103,466337158
34702164,466337158
134106557,466337158
207229669,466337158
412428029,466337158
494001611,466337158
63507104,387626674
496243227,386177375
415044146,503234832
8759555,430002148
259899780,430002148
281089804,430002148
290350570,430002148
303262039,430002148
303262267,430002148
303513296,430002148
303590067,430002148
303593024,430002148
303793361,430002148
303909882,430002148
303910377,430002148
304042711,430002148
304282811,430002148
305936478,430002148
306477605,430002148
309746103,430002148
311604325,430002148
371337773,430002148
428887260,430002148
428887726,430002148
429366108,430002148
429366242,430002148
429366425,430002148
429511515,430002148
429511623,430002148
429511746,430002148
429718646,430002148
429718831,430002148
429719252,430002148
430001790,430002148
430001931,430002148
430062453,430002148
430062593,430002148
430062729,430002148
430251794,430002148
430251959,430002148
430252105,430002148
430375234,430002148
430375503,430002148
430375646,430002148
430505053,430002148
8759555,430505053
295685011,430505053
428887726,430505053
429366242,430505053
430001790,430505053
430002148,430505053
430062593,430505053
430251794,430505053
430375646,430505053
8759555,430375646
429366242,430375646
430001790,430375646
430002148,430375646
430062593,430375646
430062729,430375646
430251794,430375646
430251959,430375646
430505053,430375646
8759555,430375503
430002148,430375503
430062593,430375503
430062729,430375503
430251794,430375503
8759555,430375234
429718831,430375234
430001931,430375234
430002148,430375234
430062453,430375234
430062593,430375234
430251794,430375234
430251959,430375234
8759555,430252105
428887260,430252105
428887726,430252105
429366108,430252105
429366242,430252105
429366425,430252105
429511623,430252105
429511746,430252105
429718646,430252105
429718831,430252105
429719252,430252105
430001790,430252105
430001931,430252105
430002148,430252105
8759555,430251959
430001790,430251959
430001931,430251959
430002148,430251959
430062453,430251959
430062729,430251959
430251794,430251959
430375234,430251959
430375646,430251959
8759555,430251794
295685011,430251794
429718831,430251794
430001790,430251794
430001931,430251794
430002148,430251794
430062593,430251794
430062729,430251794
430251959,430251794
430375234,430251794
430375503,430251794
430375646,430251794
430505053,430251794
8759555,430062729
428887260,430062729
429718831,430062729
430001790,430062729
430002148,430062729
430062593,430062729
430251794,430062729
430251959,430062729
430375503,430062729
430375646,430062729
8759555,430062593
295685011,430062593
428887260,430062593
429718831,430062593
430001790,430062593
430002148,430062593
430062729,430062593
430251794,430062593
430375234,430062593
430375503,430062593
430375646,430062593
430505053,430062593
8759555,430062453
371337773,430062453
428887260,430062453
429511746,430062453
429718646,430062453
430002148,430062453
430251959,430062453
430375234,430062453
8759555,430001931
371337773,430001931
429511515,430001931
430002148,430001931
430251794,430001931
430251959,430001931
430252105,430001931
430375234,430001931
8759555,430001790
295685011,430001790
371337773,430001790
428887260,430001790
428887726,430001790
429511746,430001790
430002148,430001790
430062593,430001790
430062729,430001790
430251794,430001790
430251959,430001790
430252105,430001790
430375646,430001790
430505053,430001790
8759555,429719252
371337773,429719252
428887260,429719252
428887726,429719252
429366242,429719252
429511746,429719252
430002148,429719252
430252105,429719252
8759555,429718831
371337773,429718831
428887260,429718831
428887726,429718831
429366108,429718831
429366242,429718831
429366425,429718831
429511623,429718831
429511746,429718831
429718646,429718831
430002148,429718831
430062593,429718831
430062729,429718831
430251794,429718831
430252105,429718831
430375234,429718831
8759555,429718646
429366242,429718646
429511515,429718646
429511623,429718646
429511746,429718646
429718831,429718646
430002148,429718646
430062453,429718646
430252105,429718646
8759555,429511746
295685011,429511746
371337773,429511746
428887260,429511746
429366242,429511746
429366425,429511746
429511515,429511746
429511623,429511746
429718646,429511746
429718831,429511746
429719252,429511746
430001790,429511746
430002148,429511746
430062453,429511746
430252105,429511746
8759555,429511623
429366108,429511623
429366242,429511623
429366425,429511623
429511515,429511623
429511746,429511623
429718646,429511623
429718831,429511623
430002148,429511623
430252105,429511623
8759555,429511515
428887260,429511515
428887726,429511515
429366108,429511515
429366242,429511515
429366425,429511515
429511623,429511515
429511746,429511515
429718646,429511515
430001931,429511515
430002148,429511515
8759555,429366425
295685011,429366425
428887260,429366425
428887726,429366425
429366108,429366425
429366242,429366425
429511515,429366425
429511623,429366425
429511746,429366425
429718831,429366425
430002148,429366425
430252105,429366425
8759555,429366242
351513094,429366242
429366108,429366242
429366425,429366242
429511515,429366242
429511623,429366242
429511746,429366242
429718646,429366242
429718831,429366242
429719252,429366242
430002148,429366242
430252105,429366242
430375646,429366242
430505053,429366242
8759555,429366108
429366242,429366108
429366425,429366108
429511515,429366108
429511623,429366108
429718831,429366108
430002148,429366108
430252105,429366108
295685011,428887726
429366425,428887726
429511515,428887726
429718831,428887726
429719252,428887726
430001790,428887726
430002148,428887726
430252105,428887726
430505053,428887726
429366425,428887260
429511515,428887260
429511746,428887260
429718831,428887260
429719252,428887260
430001790,428887260
430002148,428887260
430062453,428887260
430062593,428887260
430062729,428887260
430252105,428887260
3777549,351739623
350792159,351739623
350917000,351739623
350990057,351739623
350991030,351739623
351513094,351739623
351526602,351739623
351737828,351739623
3777549,351737828
350792159,351737828
350917000,351737828
350990057,351737828
350991030,351737828
351513094,351737828
351526602,351737828
351739623,351737828
380703051,351737828
226963948,371337773
350792159,371337773
429511746,371337773
429718831,371337773
429719252,371337773
430001790,371337773
430001931,371337773
430002148,371337773
430062453,371337773
3777549,351526602
350792159,351526602
350917000,351526602
350990057,351526602
350991030,351526602
351513094,351526602
351737828,351526602
351739623,351526602
3777549,351513094
226963948,351513094
350792159,351513094
350917000,351513094
350990057,351513094
350991030,351513094
351526602,351513094
351737828,351513094
351739623,351513094
429366242,351513094
3777549,350991030
350792159,350991030
350917000,350991030
350990057,350991030
351513094,350991030
351526602,350991030
351737828,350991030
351739623,350991030
3777549,350990057
350792159,350990057
350917000,350990057
350991030,350990057
351513094,350990057
351526602,350990057
